Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
24.9000        -5929.56     -5996.32        66.76   301.0
24.9500        -5930.44     -5996.71        66.28   298.8
25.0000        -5928.38     -5995.46        67.08   302.4
25.0500        -5924.76     -5991.26        66.50   299.8
25.1000        -5926.45     -5992.50        66.06   297.8
25.1500        -5931.80     -5997.69        65.89   297.1
25.2000        -5928.50     -5996.23        67.72   305.3
25.2500        -5921.40     -5989.74        68.34   308.1
25.3000        -5928.58     -5992.26        63.69   287.1
25.3500        -5928.86     -5993.40        64.55   291.0
25.4000        -5925.68     -5995.32        69.65   314.0
25.4500        -5927.88     -5994.71        66.83   301.3
25.5000        -5926.01     -5994.24        68.23   307.6
25.5500        -5928.83     -5995.57        66.74   300.9
25.6000        -5927.76     -5995.57        67.80   305.7
25.6500        -5927.30     -5992.14        64.84   292.3
25.7000        -5927.60     -5994.13        66.53   300.0
25.7500        -5929.57     -5996.28        66.72   300.8
25.8000        -5930.85     -5995.34        64.49   290.8
25.8500        -5924.85     -5994.09        69.24   312.2
25.9000        -5926.85     -5991.45        64.60   291.2
25.9500        -5926.97     -5994.06        67.09   302.5
26.0000        -5923.20     -5989.30        66.10   298.0
26.0500        -5924.83     -5992.64        67.81   305.7
26.1000        -5930.43     -5995.20        64.77   292.0
26.1500        -5927.00     -5994.33        67.33   303.5
26.2000        -5926.67     -5992.92        66.25   298.7
26.2500        -5927.08     -5992.82        65.74   296.4
26.3000        -5924.44     -5992.97        68.53   309.0
26.3500        -5927.06     -5992.67        65.62   295.8
26.4000        -5929.61     -5995.45        65.85   296.9
26.4500        -5929.16     -5994.03        64.88   292.5
26.5000        -5926.61     -5993.62        67.01   302.1
26.5500        -5923.13     -5991.82        68.69   309.7
26.6000        -5927.37     -5992.78        65.41   294.9
26.6500        -5927.55     -5994.34        66.79   301.1
26.7000        -5927.52     -5994.20        66.67   300.6
26.7500        -5926.44     -5994.07        67.63   304.9
26.8000        -5926.19     -5993.76        67.57   304.6
26.8500        -5928.72     -5994.25        65.53   295.4
26.9000        -5928.96     -5995.16        66.20   298.4
26.9500        -5928.55     -5995.18        66.64   300.4
27.0000        -5929.55     -5995.15        65.60   295.8
27.0500        -5924.39     -5992.12        67.73   305.4
27.1000        -5925.14     -5991.88        66.74   300.9
27.1500        -5926.42     -5993.50        67.08   302.4
27.2000        -5926.93     -5992.99        66.07   297.8
27.2500        -5927.57     -5993.13        65.57   295.6
27.3000        -5928.93     -5996.75        67.82   305.8
27.3500        -5932.89     -5998.04        65.15   293.7
27.4000        -5925.61     -5993.33        67.73   305.3
27.4500        -5927.88     -5994.09        66.21   298.5
27.5000        -5931.06     -5996.18        65.12   293.6
