Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
18.4500     -1190580.38  -1190646.68        66.30   298.9
18.5000     -1190579.46  -1190646.36        66.91   301.6
18.5500     -1190580.20  -1190646.13        65.94   297.3
18.6000     -1190582.06  -1190647.75        65.69   296.2
18.6500     -1190582.51  -1190647.50        64.99   293.0
18.7000     -1190578.54  -1190645.23        66.68   300.6
18.7500     -1190579.61  -1190646.03        66.42   299.4
18.8000     -1190585.53  -1190650.10        64.56   291.1
18.8500     -1190581.48  -1190650.34        68.86   310.4
18.9000     -1190577.55  -1190644.05        66.51   299.8
18.9500     -1190579.39  -1190644.43        65.05   293.3
19.0000     -1190580.67  -1190645.67        64.99   293.0
19.0500     -1190580.79  -1190646.98        66.19   298.4
19.1000     -1190579.14  -1190646.05        66.91   301.7
19.1500     -1190579.07  -1190645.47        66.41   299.4
19.2000     -1190580.86  -1190647.40        66.55   300.0
19.2500     -1190581.32  -1190647.50        66.18   298.4
19.3000     -1190585.13  -1190649.83        64.70   291.7
19.3500     -1190583.92  -1190648.44        64.51   290.8
19.4000     -1190580.49  -1190648.29        67.80   305.7
19.4500     -1190585.72  -1190650.28        64.56   291.1
19.5000     -1190582.56  -1190648.65        66.09   298.0
19.5500     -1190577.74  -1190645.82        68.08   306.9
19.6000     -1190580.81  -1190647.05        66.25   298.7
19.6500     -1190588.03  -1190651.76        63.73   287.3
19.7000     -1190584.27  -1190651.10        66.83   301.3
19.7500     -1190579.83  -1190647.36        67.53   304.5
19.8000     -1190581.42  -1190649.04        67.61   304.8
19.8500     -1190587.56  -1190651.34        63.78   287.6
19.9000     -1190584.35  -1190648.65        64.30   289.9
19.9500     -1190580.07  -1190649.99        69.92   315.2
20.0000     -1190585.82  -1190650.97        65.15   293.7
20.0500     -1190585.50  -1190651.46        65.96   297.4
20.1000     -1190581.36  -1190649.00        67.64   304.9
20.1500     -1190581.38  -1190649.59        68.22   307.5
20.2000     -1190585.07  -1190651.29        66.22   298.5
20.2500     -1190583.77  -1190651.21        67.44   304.1
20.3000     -1190585.54  -1190652.49        66.95   301.8
20.3500     -1190585.94  -1190650.13        64.19   289.4
20.4000     -1190579.29  -1190649.45        70.16   316.3
20.4500     -1190583.79  -1190648.53        64.74   291.9
20.5000     -1190583.55  -1190650.05        66.49   299.8
20.5500     -1190580.73  -1190648.79        68.06   306.9
20.6000     -1190582.70  -1190650.15        67.45   304.1
20.6500     -1190586.66  -1190653.05        66.39   299.3
20.7000     -1190584.39  -1190650.97        66.58   300.2
20.7500     -1190580.31  -1190646.05        65.74   296.4
20.8000     -1190582.79  -1190649.17        66.38   299.2
20.8500     -1190583.28  -1190649.79        66.51   299.9
20.9000     -1190581.48  -1190648.47        66.98   302.0
20.9500     -1190580.72  -1190648.07        67.35   303.6
21.0000     -1190583.80  -1190650.11        66.30   298.9
21.0500     -1190584.46  -1190648.91        64.45   290.6
21.1000     -1190579.64  -1190648.72        69.08   311.4
21.1500     -1190583.91  -1190648.58        64.68   291.6
21.2000     -1190583.51  -1190650.17        66.66   300.5
21.2500     -1190580.76  -1190646.19        65.43   295.0
21.3000     -1190580.93  -1190648.08        67.15   302.7
21.3500     -1190583.03  -1190648.47        65.44   295.0
21.4000     -1190581.81  -1190649.32        67.50   304.3
21.4500     -1190584.09  -1190650.19        66.10   298.0
21.5000     -1190583.08  -1190650.12        67.04   302.2
21.5500     -1190580.31  -1190648.86        68.55   309.0
21.6000     -1190582.48  -1190648.22        65.74   296.4
